Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

meleeToolAxeT3Brainsaw,items,item,,,Brainsaw,,,,,,,,,,,,,
meleeToolAxeT3BrainsawDesc,items,item,,,"(Strength + Miner 69'er + Mother Lode) This chainsaw is modified with a reinforced chassis, diamond tipped teeth, and a plasma powered engine. The plasma field has been known to bring on bouts of rage as you release the Evil Dead from their suffering. Only crafted to Q1. Check loot for weapons and tickets.",,,,,,,,,,,,,
gunRifleT3DCLXVIZeus,items,item,,,DCLXVI Zeus,,,,,,,,,,,,,
gunRifleT3DCLXVIZeusDesc,items,item,,,"(Perception + Dead Eye) A modified Nail gun with sniper potential that uses an electromagnetic coil to fire a charged steel projectile at high velocity. Needs charging before shooting by holding primary action. The longer you charge the higher the damage and flytime of the projectile will be. A full charge is indicated by beeps. Only crafted to Q1. Check loot for weapons and tickets.",,,,,,,,,,,,,
gunRifleT3DCLXVIZeusAmmo,items,item,,,DCLXVI Zeus Ammo,,,,,,,,,,,,,
gunRifleT3DCLXVIZeusAmmoDesc,items,item,,,"A charged steel projectile that is fired from the DCLXVI Zeus at high velocity for devastating charged impact. Only crafted to Q1. Check loot for weapons and tickets.",,,,,,,,,,,,,
gunRifleT1HuntingRifleSavery,items,item,,,Savery,,,,,,,,,,,,,
gunRifleT1HuntingRifleSaveryDesc,items,item,,,"(Perception + Dead Eye) A sniper rifle that uses Magnum ammo and has a 12 cartridge double-cylinder that allows it to fire in rapid succession and reload very quickly. Very effective at long and medium range. Only crafted to Q1. Check loot for weapons and tickets.",,,,,,,,,,,,,
gunKronosXII,items,item,,,Kronos XII,,,,,,,,,,,,,
gunKronosXIIDesc,items,item,,,"(Strength + Boomstick) A high-grade fully automatic Shotgun with a 30 cartridge drum magazine and a special attached module. Accumulate 20 eliminations and activate the module by pressing the flashlight key. For 20 seconds, spread and knockback will be reduced significantly, while the max range will be doubled. Successful hits appear numerically on the left side of the screen. A fully charged module will emit an audible signal. Changing weapons will reset the counter. Only crafted to Q1. Check loot for weapons and tickets.",,,,,,,,,,,,,
meleeWpnSledgeT3SteelThorHammer,items,item,,,Thor's Hammer,,,,,,,,,,,,,
meleeWpnSledgeT3SteelThorHammerDesc,items,item,,,"(Strength + Skull Crusher + Electrocutioner) A modified Steel Sledgehammer with an electric shock device attached. On each successful hit it discharges a current on the target that stuns it for a few seconds. Using the Power Attack on a block or an enemy discharges the current over an area. Only crafted to Q1. Check loot for weapons and tickets.",,,,,,,,,,,,,
gunPP-19Bizon,items,item,,,PP-19 Bizon,,,,,,,,,,,,,
gunPP-19BizonDesc,items,item,,,"(Agility + Gunslinger) A Russian Submachine Gun with a very high magazine capacity, low recoil and low spread. It is able to deal with multiple enemies effectively. However, the damage output is relatively low. Only crafted to Q1. Check loot for weapons and tickets.",,,,,,,,,,,,,
meleeWpnPolearm,items,item,,,Polearm,,,,,,,,,,,,,
meleeWpnPolearmDesc,items,item,,,"(Javelin + Flurry of Perception) A long range melee weapon that is very effective in open high areas but somewhat limited when in restricted areas. Only crafted to Q1. Check loot for weapons and tickets.",,,,,,,,,,,,,
gunNewcomen,items,item,,,Newcomen,,,,,
gunNewcomenDesc,items,item,,,"(Agility + Gunslinger) A steam-powered pistol Gun with a high magazine capacity and dual fire mode. Press primary action to shoot in semi-auto, and hold secondary action to unleash a 30-shot burst. Extremely deadly at short range. This weapon doesn't have a zoom mode but accepts under barrel mods. Only crafted to Q1. Check loot for weapons and tickets."

Cow Helmet,item_modifiers,mod,,,Cow Helmet Mod,,,,,,,,,,,,,
Cow HelmetDesc,item_modifiers,mod,,,"Increases Strength, Damage resistance, Cold and Heat resistance, Fire and Electric Shock resistance, Fortitude, and Agility. Can be found in hardened chests as a lootable item and installed in the armor headware paint slot. This helmet mod is visible to other players.",,,,,,,,,,,,,
Pumpkin Hat,item_modifiers,mod,,,Pumpkin Hat Mod,,,,,,,,,,,,,
Pumpkin HatDesc,item_modifiers,mod,,,"Reduces Noise, Increases Damage resistance, Strength, Cold and Heat resistance, Fire and Electric Shock resistance, Fortitude, and Agility. Can be found in hardened chests as a lootable item and installed in the armor headware paint slot. This hat mod is visible to other players.",,,,,,,,,,,,,
